Iteración,Tiempo Lineal (ns),Tiempo Normal (ns)
0,10233,12153
1,4155,7507
2,113321,9316
3,112607,3750
4,2246,5463
5,7636,8360
6,1875,8244
7,1485,7428
8,1995,5948
9,112718,5124
10,3043,4194
11,1022,6601
12,1577,7640
13,112306,5683
14,112337,6783
15,1876,8373
16,113804,8186
17,1231,4536
18,113230,7147
19,1367,2229
20,113477,6773
21,111534,7968
22,114127,8403
23,1837,8599
24,110733,6216
25,112171,8316
26,2123,7512
27,1345,3687
28,112833,4571
29,112841,8706
30,113344,8968
31,112502,5651
32,2605,11486
33,110310,8042
34,110982,9484
35,1653,8680
36,1851,5621
37,113191,5433
38,114224,6580
39,1170,7157
40,1632,7490
41,24733,9480
42,112148,8478
43,1651,8532
44,2045,6063
45,1526,7103
46,1463,6987
47,3106,25324
48,12767,18089
49,130589,18001
