Iteración,Tiempo Lineal (ns),Tiempo Normal (ns)
0,1748,226
1,341,146
2,127,116
3,176,126
4,138,129
5,130,127
6,137,129
7,127,130
8,136,129
9,128,158
10,115,129
11,131,128
12,151,127
13,122,163
14,115,128
15,128,136
16,137,116
17,144,131
18,141,127
19,140,115
20,128,124
21,131,131
22,138,127
23,127,125
24,141,120
25,125,129
26,114,118
27,129,102
28,138,98
29,98,100
30,150,114
31,128,129
32,143,113
33,128,286
34,186,164
35,132,141
36,117,140
37,129,128
38,131,154
39,140,145
40,142,131
41,127,128
42,183,129
43,129,101
44,139,128
45,129,178
46,132,126
47,117,125
48,144,104
49,153,141
